Time	Channel B
(ms)	(mV)

-1.67833600	6.27622700
-1.67782400	2.51429100
-1.67731200	0.19994920
-1.67680000	0.12615120
-1.67628800	0.02011660
-1.67577600	0.06364997
-1.67526400	0.11519420
-1.67475200	0.10365260
-1.67424000	0.03010295
-1.67372800	0.07215512
-1.67321600	0.13133750
-1.67270400	0.18867720
-1.67219200	0.18636920
-1.67168000	0.20002070
-1.67116800	0.20490170
-1.67065600	0.11495270
-1.67014400	0.05424013
-1.66963200	0.07909714
-1.66912000	0.14047650
-1.66860800	0.19911940
-1.66809600	0.23843100
-1.66758400	0.16249940
-1.66707200	0.18228270
-1.66656000	0.19218410
-1.66604800	0.10482110
-1.66553600	0.00580965
-1.66502400	0.09326702
-1.66451200	0.13727000
-1.66400000	0.08094549
-1.66348800	0.17831880
-1.66297600	0.13814820
-1.66246400	0.12698940
-1.66195200	0.21953230
-1.66144000	0.25881530
-1.66092800	0.26023460
-1.66041600	0.18459600
-1.65990400	0.07197064
-1.65939200	0.14537630
-1.65888000	0.23162880
-1.65836800	0.16451940
-1.65785600	0.05276286
-1.65734400	0.20256430
-1.65683200	0.21982990
-1.65632000	0.07223026
-1.65580800	0.04204437
-1.65529600	0.11970390
-1.65478400	0.16738080
-1.65427200	0.23326150
-1.65376000	0.24189240
-1.65324800	0.10912270
-1.65273600	0.04818783
-1.65222400	0.01094312
-1.65171200	0.15028160
-1.65120000	0.27070640
-1.65068800	0.21057000
-1.65017600	0.05728213
-1.64966400	0.09761050
-1.64915200	0.11769090
-1.64864000	0.04382628
-1.64812800	0.15506920
-1.64761600	0.15752590
-1.64710400	0.08923800
-1.64659200	0.16276420
-1.64608000	0.13488170
-1.64556800	0.13395740
-1.64505600	0.15350250
-1.64454400	0.06181934
-1.64403200	0.02661613
-1.64352000	0.02585792
-1.64300800	0.04109657
-1.64249600	0.12630200
-1.64198400	0.20351160
-1.64147200	0.15473330
-1.64096000	0.18967180
-1.64044800	0.30520860
-1.63993600	0.31726660
-1.63942400	0.11742400
-1.63891200	0.17000610
