Time	Channel A  550ms
(ms)	(V)

-20.00275000	0.12696860
-20.00074000	0.12696860
-19.99872000	0.13673540
-19.99670000	0.15138570
-19.99469000	0.15138570
-19.99267000	0.12208520
-19.99065000	0.13673540
-19.98864000	0.14650230
-19.98662000	0.13185200
-19.98461000	0.11231840
-19.98259000	0.12208520
-19.98057000	0.13673540
-19.97856000	0.14161880
-19.97654000	0.12696860
-19.97453000	0.12696860
-19.97251000	0.11720180
-19.97050000	0.13673540
-19.96848000	0.10743500
-19.96646000	0.10743500
-19.96445000	0.11231840
-19.96243000	0.10255160
-19.96041000	0.11231840
-19.95840000	0.12208520
-19.95638000	0.11720180
-19.95437000	0.13185200
-19.95235000	0.13673540
-19.95033000	0.09278476
-19.94832000	0.10255160
-19.94630000	0.13185200
-19.94429000	0.13185200
-19.94227000	0.13673540
-19.94026000	0.13185200
-19.93824000	0.13673540
-19.93622000	0.14161880
-19.93421000	0.13185200
-19.93219000	0.12696860
-19.93017000	0.12208520
-19.92816000	0.12208520
-19.92614000	0.12208520
-19.92413000	0.12696860
-19.92211000	0.13185200
-19.92009000	0.12208520
-19.91808000	0.10255160
-19.91606000	0.13673540
-19.91405000	0.12696860
-19.91203000	0.12208520
-19.91002000	0.10743500
-19.90800000	0.13185200
-19.90598000	0.13185200
-19.90397000	0.09766817
-19.90195000	0.10255160
-19.89993000	0.13185200
-19.89792000	0.10255160
-19.89590000	0.10255160
-19.89389000	0.09278476
-19.89187000	0.12696860
-19.88985000	0.11231840
-19.88784000	0.13673540
-19.88582000	0.14161880
-19.88381000	0.14161880
-19.88179000	0.12696860
-19.87978000	0.14650230
-19.87776000	0.14650230
-19.87574000	0.14161880
-19.87373000	0.13673540
-19.87171000	0.14161880
-19.86969000	0.15138570
-19.86768000	0.12208520
-19.86566000	0.13673540
-19.86365000	0.13185200
-19.86163000	0.12208520
-19.85961000	0.12696860
-19.85760000	0.12696860
-19.85558000	0.13673540
-19.85357000	0.13185200
-19.85155000	0.13673540
-19.84953000	0.13673540
-19.84752000	0.13185200
-19.84550000	0.11720180
-19.84349000	0.12696860
-19.84147000	0.08790135
-19.83945000	0.11720180
-19.83744000	0.12696860
-19.83542000	0.11231840
-19.83341000	0.11231840
-19.83139000	0.11231840
-19.82937000	0.12208520
-19.82736000	0.12208520
-19.82534000	0.12696860
-19.82333000	0.11720180
-19.82131000	0.09766817
-19.81930000	0.12208520
-19.81728000	0.12696860
-19.81526000	0.11231840
-19.81325000	0.12208520
-19.81123000	0.11231840
-19.80921000	0.12696860
-19.80720000	0.13185200
-19.80518000	0.10255160
-19.80317000	0.13673540
-19.80115000	0.11231840
-19.79913000	0.11720180
-19.79712000	0.12208520
-19.79510000	0.10255160
-19.79309000	0.11231840
-19.79107000	0.10743500
-19.78905000	0.11231840
-19.78704000	0.10255160
-19.78502000	0.12696860
-19.78301000	0.12208520
-19.78099000	0.10743500
-19.77897000	0.11720180
-19.77696000	0.12208520
-19.77494000	0.10743500
-19.77293000	0.12696860
-19.77091000	0.13673540
-19.76890000	0.12696860
-19.76688000	0.14161880
