Time	Channel A
(ms)	(V)

-5.00070400	0.12696860
-5.00019200	0.12208520
-4.99968000	0.12208520
-4.99916800	0.10255160
-4.99865600	0.10743500
-4.99814400	0.13185200
-4.99763200	0.13673540
-4.99712000	0.13673540
-4.99660800	0.13185200
-4.99609600	0.12696860
-4.99558400	0.12696860
-4.99507200	0.11720180
-4.99456000	0.11720180
-4.99404800	0.13185200
-4.99353600	0.13185200
-4.99302400	0.12696860
-4.99251200	0.11720180
-4.99200000	0.13185200
-4.99148800	0.14161880
-4.99097600	0.11720180
-4.99046400	0.13185200
-4.98995200	0.11720180
-4.98944000	0.12696860
-4.98892800	0.12696860
-4.98841600	0.10743500
-4.98790400	0.12208520
-4.98739200	0.11720180
-4.98688000	0.13185200
-4.98636800	0.11720180
-4.98585600	0.12208520
-4.98534400	0.12696860
-4.98483200	0.12208520
-4.98432000	0.12208520
-4.98380800	0.11720180
-4.98329600	0.12696860
-4.98278400	0.12208520
-4.98227200	0.11720180
-4.98176000	0.12208520
-4.98124800	0.11720180
-4.98073600	0.11720180
-4.98022400	0.12696860
-4.97971200	0.11720180
-4.97920000	0.13185200
-4.97868800	0.10743500
-4.97817600	0.10743500
-4.97766400	0.10743500
-4.97715200	0.10743500
-4.97664000	0.10743500
-4.97612800	0.14161880
-4.97561600	0.11231840
-4.97510400	0.11720180
-4.97459200	0.13185200
-4.97408000	0.10743500
-4.97356800	0.11231840
-4.97305600	0.12208520
-4.97254400	0.12208520
-4.97203200	0.11231840
-4.97152000	0.11231840
-4.97100800	0.12696860
-4.97049600	0.11231840
-4.96998400	0.09766817
-4.96947200	0.09278476
-4.96896000	0.09278476
-4.96844800	0.08790135
-4.96793600	0.11231840
-4.96742400	0.11720180
-4.96691200	0.10255160
-4.96640000	0.11720180
-4.96588800	0.12208520
-4.96537600	0.13185200
-4.96486400	0.11231840
-4.96435200	0.11231840
-4.96384000	0.10255160
-4.96332800	0.11720180
-4.96281600	0.11231840
-4.96230400	0.10743500
-4.96179200	0.13185200
-4.96128000	0.11720180
-4.96076800	0.10743500
-4.96025600	0.11231840
-4.95974400	0.10255160
-4.95923200	0.10743500
-4.95872000	0.11720180
-4.95820800	0.09766817
-4.95769600	0.11720180
-4.95718400	0.12208520
-4.95667200	0.12696860
-4.95616000	0.12696860
-4.95564800	0.12208520
-4.95513600	0.11231840
-4.95462400	0.10255160
-4.95411200	0.10255160
-4.95360000	0.13185200
-4.95308800	0.10743500
-4.95257600	0.11720180
-4.95206400	0.12208520
-4.95155200	0.09766817
-4.95104000	0.10743500
-4.95052800	0.11720180
-4.95001600	0.12696860
-4.94950400	0.09766817
-4.94899200	0.11720180
-4.94848000	0.10743500
-4.94796800	0.11720180
-4.94745600	0.11720180
-4.94694400	0.12696860
-4.94643200	0.11231840
-4.94592000	0.12208520
-4.94540800	0.12208520
-4.94489600	0.12696860
-4.94438400	0.10743500
-4.94387200	0.13673540
-4.94336000	0.10255160
-4.94284800	0.12696860
-4.94233600	0.12696860
-4.94182400	0.13673540
-4.94131200	0.12208520
-4.94080000	0.13673540
