Time	Channel A
(ms)	(V)

-100.01980000	0.11720180
-100.00980000	0.12208520
-99.99976000	0.12696860
-99.98975000	0.11231840
-99.97974000	0.13673540
-99.96971000	0.13185200
-99.95970000	0.13673540
-99.94968000	0.14161880
-99.93967000	0.14161880
-99.92965000	0.11720180
-99.91964000	0.11720180
-99.90962000	0.10255160
-99.89960000	0.13673540
-99.88960000	0.10743500
-99.87957000	0.11231840
-99.86956000	0.10255160
-99.85954000	0.12696860
-99.84953000	0.11231840
-99.83951000	0.11720180
-99.82950000	0.12208520
-99.81948000	0.11720180
-99.80946000	0.14161880
-99.79945000	0.14650230
-99.78944000	0.12208520
-99.77941000	0.11231840
-99.76940000	0.13673540
-99.75938000	0.12696860
-99.74937000	0.12696860
-99.73935000	0.12208520
-99.72934000	0.12696860
-99.71931000	0.11231840
-99.70930000	0.12208520
-99.69929000	0.14650230
-99.68927000	0.11720180
-99.67925000	0.10743500
-99.66924000	0.09766817
-99.65922000	0.10255160
-99.64921000	0.13185200
-99.63919000	0.12696860
-99.62917000	0.11231840
-99.61916000	0.10255160
-99.60915000	0.12696860
-99.59912000	0.12208520
-99.58911000	0.12696860
-99.57909000	0.12208520
-99.56908000	0.12696860
-99.55906000	0.13673540
-99.54905000	0.12208520
-99.53902000	0.13673540
-99.52901000	0.14650230
-99.51900000	0.12208520
-99.50898000	0.08790135
-99.49896000	0.12696860
-99.48895000	0.12208520
-99.47893000	0.11231840
-99.46892000	0.10255160
-99.45890000	0.14161880
-99.44888000	0.12696860
-99.43887000	0.15138570
-99.42886000	0.12696860
-99.41884000	0.12208520
-99.40882000	0.15138570
-99.39880000	0.15138570
-99.38879000	0.12696860
-99.37877000	0.11720180
-99.36876000	0.13185200
-99.35874000	0.13185200
-99.34872000	0.11231840
-99.33871000	0.11231840
-99.32870000	0.14161880
-99.31867000	0.12208520
-99.30866000	0.13185200
-99.29865000	0.12208520
-99.28863000	0.11231840
-99.27861000	0.13673540
-99.26860000	0.11231840
-99.25858000	0.09766817
-99.24857000	0.12696860
-99.23856000	0.12208520
-99.22853000	0.13673540
-99.21852000	0.11720180
-99.20850000	0.11231840
-99.19849000	0.13185200
-99.18847000	0.14161880
-99.17846000	0.12696860
-99.16843000	0.13185200
-99.15842000	0.14161880
-99.14841000	0.12208520
-99.13839000	0.11720180
-99.12837000	0.13185200
-99.11836000	0.13673540
-99.10834000	0.13673540
-99.09833000	0.14161880
-99.08831000	0.12696860
-99.07829000	0.13185200
-99.06828000	0.13185200
-99.05827000	0.11231840
-99.04825000	0.11720180
-99.03823000	0.14161880
-99.02821000	0.11720180
-99.01820000	0.11720180
-99.00818000	0.15138570
-98.99817000	0.11231840
-98.98815000	0.10255160
-98.97813000	0.12696860
-98.96812000	0.13185200
-98.95811000	0.11720180
-98.94808000	0.11231840
-98.93807000	0.09278476
-98.92805000	0.10743500
-98.91804000	0.10743500
-98.90802000	0.11720180
-98.89801000	0.10255160
-98.88799000	0.11720180
-98.87798000	0.13673540
-98.86796000	0.13185200
-98.85794000	0.10743500
-98.84792000	0.12208520
